legal_entity,physical_entity,fk_client_id
True,False,1
True,False,2
True,False,3
True,False,4
False,True,5
False,True,6
False,True,7
True,False,8
True,False,9
True,False,10
True,False,11
True,False,12
True,False,13
False,True,14
True,False,15
False,True,16
True,False,17
False,True,18
True,False,19
False,True,20
True,False,21
True,False,22
False,True,23
True,False,24
True,False,25
False,True,26
False,True,27
True,False,28
True,False,29
False,True,30
True,False,31
False,True,32
False,True,33
True,False,34
False,True,35
False,True,36
False,True,37
True,False,38
False,True,39
True,False,40
False,True,41
False,True,42
False,True,43
False,True,44
True,False,45
False,True,46
True,False,47
False,True,48
True,False,49
True,False,50
False,True,51
True,False,52
False,True,53
True,False,54
True,False,55
True,False,56
True,False,57
False,True,58
True,False,59
True,False,60
False,True,61
False,True,62
False,True,63
True,False,64
False,True,65
False,True,66
True,False,67
False,True,68
True,False,69
True,False,70
True,False,71
False,True,72
True,False,73
False,True,74
True,False,75
False,True,76
False,True,77
False,True,78
True,False,79
False,True,80
True,False,81
False,True,82
False,True,83
True,False,84
False,True,85
False,True,86
False,True,87
True,False,88
True,False,89
True,False,90
False,True,91
True,False,92
True,False,93
True,False,94
False,True,95
False,True,96
False,True,97
False,True,98
False,True,99
False,True,100
True,False,101
False,True,102
True,False,103
True,False,104
True,False,105
True,False,106
True,False,107
True,False,108
False,True,109
True,False,110
False,True,111
True,False,112
False,True,113
False,True,114
True,False,115
True,False,116
False,True,117
True,False,118
True,False,119
False,True,120
False,True,121
False,True,122
False,True,123
False,True,124
True,False,125
False,True,126
False,True,127
False,True,128
True,False,129
True,False,130
True,False,131
False,True,132
False,True,133
True,False,134
True,False,135
False,True,136
True,False,137
False,True,138
False,True,139
False,True,140
False,True,141
True,False,142
True,False,143
False,True,144
True,False,145
False,True,146
False,True,147
False,True,148
False,True,149
False,True,150
False,True,151
False,True,152
False,True,153
False,True,154
True,False,155
True,False,156
True,False,157
True,False,158
False,True,159
True,False,160
True,False,161
False,True,162
True,False,163
True,False,164
True,False,165
True,False,166
True,False,167
True,False,168
True,False,169
False,True,170
False,True,171
True,False,172
False,True,173
False,True,174
False,True,175
False,True,176
True,False,177
False,True,178
False,True,179
False,True,180
True,False,181
False,True,182
True,False,183
False,True,184
False,True,185
False,True,186
True,False,187
True,False,188
True,False,189
True,False,190
True,False,191
True,False,192
False,True,193
True,False,194
True,False,195
True,False,196
True,False,197
False,True,198
False,True,199
True,False,200
False,True,201
False,True,202
False,True,203
True,False,204
True,False,205
True,False,206
False,True,207
False,True,208
True,False,209
True,False,210
True,False,211
True,False,212
False,True,213
True,False,214
False,True,215
False,True,216
True,False,217
False,True,218
False,True,219
False,True,220
False,True,221
False,True,222
True,False,223
False,True,224
False,True,225
False,True,226
True,False,227
False,True,228
False,True,229
True,False,230
False,True,231
True,False,232
True,False,233
True,False,234
False,True,235
True,False,236
False,True,237
False,True,238
True,False,239
False,True,240
True,False,241
True,False,242
True,False,243
False,True,244
True,False,245
False,True,246
True,False,247
True,False,248
True,False,249
True,False,250
True,False,251
False,True,252
False,True,253
False,True,254
False,True,255
True,False,256
True,False,257
True,False,258
False,True,259
False,True,260
False,True,261
True,False,262
True,False,263
False,True,264
False,True,265
True,False,266
False,True,267
True,False,268
False,True,269
False,True,270
True,False,271
False,True,272
True,False,273
False,True,274
False,True,275
True,False,276
False,True,277
True,False,278
True,False,279
True,False,280
False,True,281
False,True,282
False,True,283
False,True,284
False,True,285
False,True,286
False,True,287
False,True,288
False,True,289
False,True,290
True,False,291
False,True,292
False,True,293
False,True,294
True,False,295
True,False,296
False,True,297
True,False,298
True,False,299
True,False,300
True,False,301
False,True,302
True,False,303
True,False,304
True,False,305
False,True,306
False,True,307
True,False,308
True,False,309
True,False,310
False,True,311
False,True,312
False,True,313
False,True,314
False,True,315
True,False,316
True,False,317
False,True,318
True,False,319
True,False,320
True,False,321
False,True,322
False,True,323
False,True,324
True,False,325
False,True,326
True,False,327
True,False,328
True,False,329
False,True,330
False,True,331
True,False,332
False,True,333
True,False,334
False,True,335
True,False,336
True,False,337
True,False,338
True,False,339
False,True,340
True,False,341
False,True,342
True,False,343
True,False,344
False,True,345
False,True,346
False,True,347
False,True,348
False,True,349
True,False,350
False,True,351
True,False,352
False,True,353
False,True,354
False,True,355
False,True,356
True,False,357
False,True,358
False,True,359
False,True,360
True,False,361
True,False,362
False,True,363
False,True,364
False,True,365
True,False,366
False,True,367
True,False,368
False,True,369
False,True,370
True,False,371
False,True,372
False,True,373
False,True,374
False,True,375
True,False,376
True,False,377
False,True,378
False,True,379
False,True,380
True,False,381
True,False,382
True,False,383
False,True,384
False,True,385
False,True,386
False,True,387
True,False,388
True,False,389
False,True,390
True,False,391
False,True,392
True,False,393
True,False,394
False,True,395
False,True,396
True,False,397
True,False,398
False,True,399
False,True,400
True,False,401
False,True,402
True,False,403
True,False,404
False,True,405
False,True,406
False,True,407
True,False,408
True,False,409
True,False,410
False,True,411
False,True,412
True,False,413
False,True,414
True,False,415
True,False,416
True,False,417
False,True,418
True,False,419
False,True,420
False,True,421
True,False,422
True,False,423
False,True,424
False,True,425
False,True,426
False,True,427
False,True,428
True,False,429
True,False,430
False,True,431
False,True,432
True,False,433
False,True,434
False,True,435
True,False,436
False,True,437
True,False,438
True,False,439
True,False,440
True,False,441
True,False,442
True,False,443
True,False,444
False,True,445
False,True,446
True,False,447
True,False,448
False,True,449
True,False,450
False,True,451
True,False,452
True,False,453
False,True,454
True,False,455
True,False,456
True,False,457
True,False,458
True,False,459
True,False,460
False,True,461
False,True,462
False,True,463
True,False,464
False,True,465
True,False,466
False,True,467
False,True,468
True,False,469
True,False,470
False,True,471
True,False,472
True,False,473
True,False,474
True,False,475
False,True,476
False,True,477
True,False,478
True,False,479
False,True,480
True,False,481
True,False,482
False,True,483
False,True,484
False,True,485
False,True,486
False,True,487
True,False,488
True,False,489
False,True,490
True,False,491
False,True,492
True,False,493
True,False,494
False,True,495
True,False,496
False,True,497
False,True,498
True,False,499
False,True,500
False,True,501
False,True,502
True,False,503
True,False,504
True,False,505
False,True,506
True,False,507
True,False,508
True,False,509
True,False,510
False,True,511
False,True,512
True,False,513
False,True,514
True,False,515
True,False,516
False,True,517
False,True,518
False,True,519
True,False,520
True,False,521
True,False,522
False,True,523
True,False,524
True,False,525
False,True,526
True,False,527
False,True,528
True,False,529
False,True,530
True,False,531
True,False,532
False,True,533
True,False,534
False,True,535
True,False,536
True,False,537
True,False,538
False,True,539
False,True,540
False,True,541
True,False,542
False,True,543
False,True,544
True,False,545
False,True,546
True,False,547
True,False,548
False,True,549
True,False,550
False,True,551
False,True,552
True,False,553
True,False,554
False,True,555
False,True,556
True,False,557
False,True,558
True,False,559
False,True,560
True,False,561
True,False,562
False,True,563
True,False,564
True,False,565
True,False,566
False,True,567
True,False,568
True,False,569
True,False,570
False,True,571
False,True,572
True,False,573
False,True,574
True,False,575
True,False,576
True,False,577
True,False,578
False,True,579
False,True,580
True,False,581
False,True,582
False,True,583
False,True,584
False,True,585
True,False,586
False,True,587
True,False,588
True,False,589
False,True,590
True,False,591
True,False,592
False,True,593
True,False,594
False,True,595
True,False,596
True,False,597
False,True,598
False,True,599
False,True,600
False,True,601
True,False,602
True,False,603
True,False,604
True,False,605
True,False,606
True,False,607
False,True,608
False,True,609
False,True,610
False,True,611
True,False,612
True,False,613
False,True,614
True,False,615
False,True,616
True,False,617
True,False,618
False,True,619
True,False,620
False,True,621
False,True,622
False,True,623
False,True,624
True,False,625
True,False,626
False,True,627
True,False,628
False,True,629
True,False,630
True,False,631
True,False,632
True,False,633
True,False,634
True,False,635
True,False,636
True,False,637
True,False,638
True,False,639
True,False,640
True,False,641
True,False,642
False,True,643
False,True,644
True,False,645
True,False,646
True,False,647
True,False,648
True,False,649
False,True,650
True,False,651
False,True,652
True,False,653
False,True,654
True,False,655
False,True,656
True,False,657
False,True,658
False,True,659
True,False,660
False,True,661
True,False,662
False,True,663
False,True,664
False,True,665
False,True,666
True,False,667
False,True,668
False,True,669
True,False,670
False,True,671
True,False,672
True,False,673
False,True,674
False,True,675
False,True,676
True,False,677
False,True,678
True,False,679
False,True,680
True,False,681
False,True,682
False,True,683
False,True,684
False,True,685
True,False,686
False,True,687
True,False,688
True,False,689
False,True,690
False,True,691
True,False,692
True,False,693
True,False,694
False,True,695
False,True,696
True,False,697
True,False,698
True,False,699
False,True,700
False,True,701
False,True,702
False,True,703
True,False,704
True,False,705
False,True,706
True,False,707
True,False,708
True,False,709
False,True,710
True,False,711
False,True,712
False,True,713
True,False,714
True,False,715
False,True,716
False,True,717
False,True,718
False,True,719
False,True,720
False,True,721
False,True,722
False,True,723
False,True,724
False,True,725
True,False,726
True,False,727
True,False,728
False,True,729
True,False,730
True,False,731
False,True,732
False,True,733
False,True,734
True,False,735
False,True,736
True,False,737
True,False,738
True,False,739
True,False,740
False,True,741
False,True,742
False,True,743
True,False,744
False,True,745
False,True,746
False,True,747
False,True,748
False,True,749
False,True,750
False,True,751
True,False,752
False,True,753
False,True,754
True,False,755
False,True,756
False,True,757
True,False,758
False,True,759
False,True,760
False,True,761
True,False,762
True,False,763
True,False,764
True,False,765
True,False,766
True,False,767
True,False,768
False,True,769
True,False,770
False,True,771
True,False,772
True,False,773
False,True,774
False,True,775
False,True,776
True,False,777
False,True,778
True,False,779
False,True,780
True,False,781
False,True,782
False,True,783
False,True,784
False,True,785
False,True,786
False,True,787
True,False,788
True,False,789
False,True,790
False,True,791
True,False,792
True,False,793
False,True,794
False,True,795
False,True,796
False,True,797
False,True,798
False,True,799
True,False,800
False,True,801
False,True,802
True,False,803
False,True,804
True,False,805
True,False,806
True,False,807
False,True,808
True,False,809
True,False,810
True,False,811
False,True,812
True,False,813
True,False,814
False,True,815
False,True,816
True,False,817
False,True,818
False,True,819
True,False,820
True,False,821
False,True,822
True,False,823
False,True,824
True,False,825
False,True,826
True,False,827
False,True,828
False,True,829
False,True,830
True,False,831
True,False,832
False,True,833
False,True,834
True,False,835
False,True,836
True,False,837
False,True,838
True,False,839
False,True,840
True,False,841
False,True,842
False,True,843
False,True,844
True,False,845
True,False,846
True,False,847
True,False,848
False,True,849
False,True,850
False,True,851
False,True,852
False,True,853
True,False,854
True,False,855
False,True,856
True,False,857
False,True,858
True,False,859
False,True,860
True,False,861
False,True,862
True,False,863
True,False,864
True,False,865
True,False,866
False,True,867
True,False,868
True,False,869
False,True,870
True,False,871
False,True,872
False,True,873
True,False,874
False,True,875
False,True,876
True,False,877
True,False,878
True,False,879
False,True,880
True,False,881
False,True,882
False,True,883
False,True,884
True,False,885
False,True,886
True,False,887
True,False,888
False,True,889
True,False,890
True,False,891
False,True,892
False,True,893
True,False,894
True,False,895
True,False,896
True,False,897
False,True,898
True,False,899
False,True,900
False,True,901
False,True,902
True,False,903
True,False,904
False,True,905
True,False,906
False,True,907
False,True,908
False,True,909
True,False,910
False,True,911
False,True,912
True,False,913
True,False,914
True,False,915
True,False,916
False,True,917
False,True,918
False,True,919
False,True,920
True,False,921
True,False,922
True,False,923
True,False,924
True,False,925
True,False,926
False,True,927
False,True,928
True,False,929
False,True,930
False,True,931
False,True,932
False,True,933
False,True,934
False,True,935
True,False,936
True,False,937
False,True,938
True,False,939
True,False,940
True,False,941
True,False,942
False,True,943
True,False,944
False,True,945
False,True,946
True,False,947
True,False,948
False,True,949
False,True,950
True,False,951
False,True,952
True,False,953
True,False,954
False,True,955
True,False,956
True,False,957
False,True,958
False,True,959
True,False,960
False,True,961
False,True,962
True,False,963
False,True,964
True,False,965
True,False,966
False,True,967
True,False,968
False,True,969
False,True,970
True,False,971
False,True,972
False,True,973
True,False,974
False,True,975
True,False,976
True,False,977
True,False,978
True,False,979
True,False,980
True,False,981
True,False,982
True,False,983
True,False,984
False,True,985
True,False,986
True,False,987
True,False,988
False,True,989
False,True,990
True,False,991
False,True,992
True,False,993
True,False,994
False,True,995
False,True,996
True,False,997
True,False,998
False,True,999
True,False,1000
True,False,1001
True,False,1002
False,True,1003
False,True,1004
False,True,1005
False,True,1006
False,True,1007
True,False,1008
True,False,1009
False,True,1010
True,False,1011
True,False,1012
True,False,1013
False,True,1014
True,False,1015
False,True,1016
True,False,1017
True,False,1018
False,True,1019
False,True,1020
True,False,1021
False,True,1022
False,True,1023
False,True,1024
True,False,1025
True,False,1026
False,True,1027
False,True,1028
False,True,1029
True,False,1030
True,False,1031
True,False,1032
False,True,1033
False,True,1034
True,False,1035
True,False,1036
True,False,1037
False,True,1038
False,True,1039
False,True,1040
False,True,1041
True,False,1042
False,True,1043
True,False,1044
False,True,1045
False,True,1046
True,False,1047
False,True,1048
False,True,1049
False,True,1050
True,False,1051
True,False,1052
False,True,1053
True,False,1054
True,False,1055
False,True,1056
True,False,1057
True,False,1058
False,True,1059
False,True,1060
True,False,1061
True,False,1062
True,False,1063
True,False,1064
True,False,1065
True,False,1066
False,True,1067
False,True,1068
True,False,1069
False,True,1070
True,False,1071
False,True,1072
False,True,1073
True,False,1074
False,True,1075
True,False,1076
True,False,1077
True,False,1078
False,True,1079
False,True,1080
True,False,1081
True,False,1082
False,True,1083
True,False,1084
True,False,1085
False,True,1086
True,False,1087
True,False,1088
True,False,1089
True,False,1090
True,False,1091
False,True,1092
True,False,1093
True,False,1094
False,True,1095
False,True,1096
True,False,1097
True,False,1098
False,True,1099
False,True,1100
True,False,1101
False,True,1102
False,True,1103
True,False,1104
False,True,1105
True,False,1106
True,False,1107
True,False,1108
True,False,1109
False,True,1110
False,True,1111
False,True,1112
True,False,1113
False,True,1114
False,True,1115
True,False,1116
False,True,1117
True,False,1118
True,False,1119
True,False,1120
True,False,1121
True,False,1122
False,True,1123
True,False,1124
False,True,1125
True,False,1126
False,True,1127
False,True,1128
False,True,1129
False,True,1130
True,False,1131
False,True,1132
False,True,1133
False,True,1134
False,True,1135
True,False,1136
True,False,1137
False,True,1138
True,False,1139
False,True,1140
True,False,1141
False,True,1142
False,True,1143
False,True,1144
False,True,1145
True,False,1146
True,False,1147
True,False,1148
True,False,1149
True,False,1150
True,False,1151
True,False,1152
True,False,1153
True,False,1154
True,False,1155
False,True,1156
False,True,1157
False,True,1158
True,False,1159
False,True,1160
False,True,1161
False,True,1162
True,False,1163
False,True,1164
False,True,1165
False,True,1166
False,True,1167
