telegram_link,vk_link,fk_client_id
https://t.me/mihalovavalerija,https://vk.com/ermil_55,1
https://t.me/aodintsova,NULL,2
NULL,https://vk.com/fekla89,3
https://t.me/nosipova,NULL,4
NULL,NULL,5
NULL,NULL,6
https://t.me/eduard2008,https://vk.com/maksimsergeev,7
NULL,NULL,8
https://t.me/borisovpavel,https://vk.com/mamontovdementi,9
NULL,NULL,10
NULL,NULL,11
NULL,NULL,12
NULL,NULL,13
https://t.me/ignatovernst,NULL,14
NULL,NULL,15
https://t.me/oksana_08,NULL,16
NULL,https://vk.com/bronislav_2003,17
NULL,https://vk.com/polikarp_92,18
https://t.me/raisa_68,https://vk.com/kuzminasvetlana,19
https://t.me/knjazevereme,NULL,20
https://t.me/afinogen_2016,NULL,21
https://t.me/arhip_1980,https://vk.com/prohor_1979,22
https://t.me/gsamsonov,https://vk.com/averjanlavrentev,23
NULL,https://vk.com/ernst1980,24
https://t.me/gostomislkoshelev,NULL,25
NULL,NULL,26
NULL,NULL,27
NULL,https://vk.com/lebedevisa,28
NULL,NULL,29
NULL,NULL,30
NULL,https://vk.com/milan_31,31
NULL,https://vk.com/shilovevgraf,32
NULL,https://vk.com/dobromisl1990,33
https://t.me/antonovalarisa,https://vk.com/foka01,34
https://t.me/beljakovaksenija,https://vk.com/vera2010,35
NULL,https://vk.com/artemi_1982,36
NULL,NULL,37
NULL,https://vk.com/vissarion19,38
https://t.me/hmatveeva,NULL,39
NULL,NULL,40
NULL,NULL,41
https://t.me/nikanor_52,NULL,42
NULL,NULL,43
NULL,https://vk.com/izmail1975,44
NULL,https://vk.com/kuzma83,45
NULL,NULL,46
https://t.me/harlampismirnov,https://vk.com/kliment1995,47
https://t.me/marian_1982,NULL,48
NULL,NULL,49
https://t.me/cheslav_2022,NULL,50
https://t.me/nilina,https://vk.com/belovazoja,51
https://t.me/loginovevgraf,NULL,52
https://t.me/ermil_2012,NULL,53
NULL,NULL,54
https://t.me/valeri_28,NULL,55
https://t.me/mark_08,https://vk.com/milovan41,56
https://t.me/melnikovostap,https://vk.com/ermil06,57
NULL,NULL,58
NULL,NULL,59
https://t.me/sharapovmina,https://vk.com/popovkapiton,60
NULL,NULL,61
NULL,NULL,62
NULL,NULL,63
NULL,NULL,64
NULL,https://vk.com/guljaevsvetozar,65
NULL,NULL,66
https://t.me/ermil1988,NULL,67
NULL,https://vk.com/aksenovavalentina,68
https://t.me/markovlavrenti,https://vk.com/agap1980,69
NULL,https://vk.com/pankrati_59,70
NULL,NULL,71
https://t.me/ribakovtimofe,https://vk.com/ignatiefremov,72
https://t.me/gkudrjashova,https://vk.com/kondrati_2009,73
https://t.me/sergeevserafim,https://vk.com/dorofeevosip,74
NULL,NULL,75
NULL,NULL,76
https://t.me/mstislav59,NULL,77
NULL,NULL,78
NULL,https://vk.com/belozerovfoka,79
https://t.me/juvenali69,https://vk.com/pestovavasilisa,80
https://t.me/mefodi_82,NULL,81
NULL,NULL,82
https://t.me/timur_2018,https://vk.com/popovaanastasija,83
https://t.me/german_98,NULL,84
NULL,NULL,85
https://t.me/isakovnikon,NULL,86
NULL,NULL,87
https://t.me/milovankopilov,https://vk.com/zhanna_2002,88
NULL,NULL,89
https://t.me/vseleznev,NULL,90
NULL,NULL,91
https://t.me/jlavrentev,NULL,92
NULL,NULL,93
NULL,NULL,94
